City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Salisbury,GB,2020-12-26 14:44:42,51.07,-1.8,48.99,93,100,16.11
280,Alofi,NU,2020-12-26 14:39:59,-19.06,-169.92,69.8,100,6,8.86
281,Kampong Thum,KH,2020-12-26 14:41:11,12.71,104.89,78.01,70,55,1.97
282,Innisfail,AU,2020-12-26 14:44:43,-17.53,146.03,76.15,89,100,3.67
283,Huanren,CN,2020-12-26 14:44:43,41.26,125.37,19.89,74,2,3.85
284,Goderich,CA,2020-12-26 14:44:43,43.75,-81.72,26.6,79,100,19.46
285,Pathein,MM,2020-12-26 14:44:44,16.78,94.73,74.19,79,0,6.64
286,Cuamba,MZ,2020-12-26 14:44:44,-14.8,36.54,79.77,83,74,2.53
287,Lazaro Cardenas,MX,2020-12-26 14:44:44,17.96,-102.2,75.58,78,37,4.12
288,Lorengau,PG,2020-12-26 14:44:44,-2.02,147.27,81.57,74,100,0.65
289,Masallatah,LY,2020-12-26 14:44:44,32.62,14.0,65.26,43,100,7.4
290,Raudeberg,NO,2020-12-26 14:39:04,61.99,5.14,41.0,87,100,23.24
291,Hasaki,JP,2020-12-26 14:39:13,35.73,140.83,33.8,69,20,4.7
292,Ukiah,US,2020-12-26 14:44:45,39.15,-123.21,48.2,87,90,2.39
293,Makakilo City,US,2020-12-26 14:41:29,21.35,-158.09,73.4,88,90,12.53
294,Jumla,NP,2020-12-26 14:44:45,29.27,82.18,39.6,55,84,4.47
295,Adrar,MR,2020-12-26 14:44:46,20.5,-10.07,86.76,15,80,5.23
296,Kyrylivka,UA,2020-12-26 14:44:46,46.38,35.37,43.48,88,100,6.87
297,Gumdag,TM,2020-12-26 14:44:46,39.21,54.59,37.98,74,0,6.55
298,Visby,SE,2020-12-26 14:44:46,57.64,18.3,34.0,86,40,6.93
299,Srednekolymsk,RU,2020-12-26 14:40:02,67.45,153.68,-25.67,86,99,8.52
