City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Bontang,ID,0.13,117.5,79.16,82,100,5.91,overcast clouds
329,Longyearbyen,SJ,78.22,15.64,30.2,80,75,9.17,broken clouds
330,Payo,ID,-3.75,103.64,73.96,85,100,0.87,overcast clouds
331,Vao,NC,-22.67,167.48,78.04,77,98,21.16,overcast clouds
332,East Stroudsburg,US,41.0,-75.18,28.0,62,5,3.78,clear sky
333,Saint-Francois,FR,46.42,3.91,41.0,75,90,6.93,overcast clouds
334,Kangaatsiaq,GL,68.31,-53.46,22.66,90,100,17.63,overcast clouds
335,Mnogovershinnyy,RU,53.94,139.92,-26.3,82,0,4.32,clear sky
336,Bonfim,BR,3.08,-59.95,78.71,78,81,5.7,broken clouds
337,Masunga,BW,-20.62,27.45,69.94,82,100,5.79,overcast clouds
338,Jalu,LY,29.03,21.55,53.6,53,0,9.55,clear sky
339,Barela,IN,23.1,80.05,51.31,71,21,6.15,few clouds
340,Harper,LR,4.38,-7.72,79.07,85,46,6.8,light rain
341,Ca Mau,VN,9.18,105.15,75.02,90,97,3.49,overcast clouds
342,Gobabis,NA,-22.45,18.97,73.4,64,100,1.12,light rain
343,Tezu,IN,27.92,96.17,55.24,33,2,3.76,clear sky
344,Coahuayana,MX,18.73,-103.68,75.2,53,5,8.05,smoke
345,Cabra,ES,37.47,-4.44,37.99,84,15,3.04,few clouds
346,Najran,SA,17.49,44.13,53.6,58,0,1.5,clear sky
347,Sagua La Grande,CU,22.81,-80.08,66.2,77,40,4.7,scattered clouds
348,Matozinhos,BR,-19.56,-44.08,77.0,60,0,8.05,clear sky
349,Ulaanbaatar,MN,47.91,106.88,-31.0,66,0,2.24,clear sky
350,Humboldt,US,40.67,-123.92,54.0,76,1,2.08,clear sky
351,Ginda,IN,30.69,78.49,34.88,40,0,6.91,clear sky
352,Price,US,39.6,-110.81,26.6,63,1,4.7,clear sky
353,Baza,ES,37.49,-2.77,37.99,79,43,12.44,scattered clouds
354,Sept-Iles,CA,50.2,-66.38,16.0,61,100,16.11,overcast clouds
355,Beloha,MG,-25.17,45.05,78.33,69,11,10.67,few clouds
356,Lensk,RU,60.73,114.93,-22.04,83,100,13.33,overcast clouds
357,Flin Flon,CA,54.77,-101.86,17.6,85,75,4.7,broken clouds
358,Libohove,AL,40.03,20.26,61.0,63,20,13.87,few clouds
359,Adrar,MR,20.5,-10.07,70.27,34,99,7.56,overcast clouds
360,Lorengau,PG,-2.02,147.27,86.32,61,19,5.59,few clouds
361,Juneau,US,58.3,-134.42,37.4,93,90,10.29,light rain
